All,Visi
"Add Gift Card Account","Pievienot Dāvanu Kartes Kontu"
"Order #%1.","Pasūtījums #%1."
Generate,Ģenerēt
"Unknown entity type","Nezināms ieraksta tips"
"Gift Options","Dāvanas opcijas"
"Do you have any gift items in your order?","Vai Jūsu pasūtījumā ir kāda dāvana?"
"Gift Options for Individual Items","Dāvanas opcijas atsevišķiem produktiem"
"Allow Gift Messages on Order Level","Atļaut dāvanas ziņu pasūtījuma līmenī"
"Allow Gift Messages for Order Items","Atļaut dāvanas ziņas pasūtījuma produktiem"
"Are you sure you want to delete this gift registry?","Vai Jūs tiešām vēlaties dzēst šo dāvanu reģistru?"
"Delete Registry","Dzēst Reģistru"
"Remove Item","Noņemt produktu"
"Sharing Information","Koplietošanas informācija"
"Please enter a valid email address.","Ievadiet derīgu e-pasta adresi."
"This product(s) is out of stock.","Produkts(i) nav pieejams."
"An item option with code %1 already exists.","Produkta opcija ar kodu %1 jau eksistē."
"Please enter the first name.","Lūdzu, ievadiet vārdu."
"Please enter the last name.","Lūdzu, ievadiet uzvārdu."
"Is Required","Ir obligāts"
"Select a shipping address from your address book or enter a new address.","Izvēlieties piegādes adresi no adrešu grāmatas, vai ievadiet jaunu adresi."
"Created On",Izveidots
Sender,Sūtītājs
Location,"Atrašanās vieta"
"General Options","Vispārīgās Opcijas"
"Default Template","Noklusētais šablons"
"Gift Wrapping","Dāvanu Iesaiņošana"
"Add Gift Wrapping","Pievienot Dāvanu Iesaiņošanu"
Constant,Pastāvīgi
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Konversācijas krāsas Id nav pareizs ""%1"". Lietojiet heksadecimālu 6-simbolu vērtību."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konversācijas Id nav pareizs ""%1"". Konversācijas Id jābūt ciparam."
"Conversion ID","Konversācijas ID"
"Conversion Language","Konversācijas valoda"
"Conversion Format","Konversācijas formāts"
"Conversion Color","Konversācijas krāsa"
"Conversion Label","Konversācijas nosaukums"
"Conversion Value Type","Konversācijas vērtības veids"
"Conversion Value","Konversācijas vērtība"
"Product View Optimization","Produkta skata optimizācija"
"Page View Optimization","Lapas skata optimizācija"
"Google Analytics Content Experiments Code","Google Analytics satura eksperimentu kods"
"Experiment Code","Eksperimentāls kods"
"Experiment code should be added to the original page only.","Eksperimentu kods ir jāpievieno tikai oriģinālajai lapai."
"Enable Content Experiments","Ieslēgt satura eksperimentus"
"Category View Optimization","Kategorijas skata optimizācija"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics Enhanced Ecommerce Iestatījumi"
"Send to Google","Nosūtīt uz Google"
"Grouped Products","Grupēti Produkti"
"Please specify the quantity of product(s).","Lūdzu, norādiet produktu daudzumu."
"Default Qty","Noklusētais skaits"
"Export Settings","Eksportēt Iestatījumus"
Filter,Filtrēt
User,Lietotājs
"Indexer Management","Indeksu Pārvaldība"
"Update on Save","Atjaunot saglabājot"
Ready,Gatavs
Processing,Darbojas
"Index Management","Indeksu pārvaldība"
"Test Phrase","Testa frāze"
Mode,Režīms
"Shipping Method","Piegādes veids"
Integrations,Integrācijas
"Add New Integration","Pievienot Jaunu Integrāciju"
Resources,Resursi
Invitations,Uzaicinājumi
"Add Invitations","Pievienotu Uzaicinājumus"
Link,Saite
"Enter Email","Ievadiet E-pasta adresi"
"Filterable (with results)","Filtrējams (ar rezultātiem)"
"Filterable (no results)","Filtrējams (bez rezultātiem)"
item,produkts
items,produkti
"Now Shopping by","Atlasīts pēc"
"Admin Actions Log Archive","Administratora Darbību Žurnāla Arhīvs"
"All Users","Visi lietotāji"
Report,Atskaite
Archive,Arhīvs
Reorder,"Pasūtīt atkārtoti"
Print,Drukāt
"Cart Price Rules","Iepirkuma groza cenu noteikumi"
"Newsletter Queue","Jaunumu izsūtīšanas rinda"
"Newsletter Templates","Jaunumu šabloni"
"Newsletter Subscribers","Jaunumu abonenti"
"Custom Variables","Pielāgoti mainīgie"
Widget,Logrīks
"IP Address","IP adrese"
Partners,Partneri
"Read More","Lasīt tālāk"
Synchronize,Sinhronizēt
"Some exception","Daži izņēmumi"
"To see product price, add this item to your cart. You can always remove it later.","Lai apskatītu produkta cenu, pievienojiet to pirkumu grozam."
Wishlist,"Vēlmju saraksts"
"%1 items in wish list","%1 preces vēlmju sarakstā"
"%1 product(s) have been added to shopping cart: %2.","%1 produkti tika pievienoti iepirkumu grozam: %2."
"%1's Wish List","%1 vēlmju saraksts"
"We can't create the Wish List right now.","Pašlaik nevar izveidot Vēlmju sarakstu."
"Ship to Multiple Addresses","Piegādāt uz Vairākām Adresēm"
"Review Order - %1","Pārskatīt pasūtījumu - %1"
"Shipping Methods","Piegādes veidi"
"Edit Billing Address","Labot norēķinu adresi"
"Edit Shipping Address","Labot piegādes adresi"
"Shipping Information","Piegādes informācija"
"Enter a New Address","Ievadiet jaunu adresi"
"Shipping To","Piegādājam uz"
"Order Review","Pasūtījumu pārskats"
Error:,Kļūda:
"Allow Shipping to Multiple Addresses","Atļaut piegādi uz vairākām adresēm"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksimālais skaits piegādei uz vairākām adresēm"
"Review Order","Pārskatīt pasūtījumu"
"Select Shipping Method","Izvēlieties piegādes veidu"
Qty:,Skaits:
"Thank you,","Paldies,"
"Go to Checkout","Noformēt pirkumu"
"Delete Selected Problems","Dzēst atlasītās problēmas"
"Unsubscribe Selected","Atrakstīt izvēlētos"
"Save Newsletter","Saglabāt jaunumu ziņu"
"Save and Resume","Saglabāt un turpināt"
"View Newsletter","Apskatīt jaunumu ziņu"
"Edit Newsletter","Labot jaunumu ziņu"
"Queue Information","Rindas informācija"
"Queue Date Start","Rindas sākuma datums"
"Subscribers From","Abonenti no"
"Newsletter Styles","Jaunumu stili"
Pause,Pauze
"Do you really want to cancel the queue?","Vai tiešām vēlaties atcelt rindu?"
Resume,Atsākt
"Return HTML Version","Atgriezt HTML versiju"
"Save As","Saglabāt kā"
"Edit Newsletter Template","Labot janumu ziņas šablonu"
"New Newsletter Template","Jauns ziņu šablons"
"Newsletter Problem Reports","Jaunumu ziņu problēmu atskaite"
"Edit Queue","Labot sūtījumu rindu"
Subscribers,Abonenti
"Create Newsletter Template","Izveidot jaunumu ziņas šablonu"
"Your subscription has been confirmed.","Jūsu atrakstīšanās tika apstiprināta."
"This email address is already assigned to another user.","Šī e-pasta adrese jau ir citam lietotājam."
"Thank you for your subscription.","Pateicamies par pierakstīšanos jaunumiem."
Cancelled,Atcelts
"Duplicate template code","Dubults šablona kods"
"Newsletter Message Preview","Jaunumu ziņas priekšskats"
"Add to Queue","Pievienot rindai"
"Are you sure that you want to strip all tags?","Vai tiešām vēlaties noņemt visus tagus?"
" Copy"," Kopēt"
"Sign Up for Our Newsletter:","Pieteikties jaunumu saņemšanai:"
"Enter your email address","Ievadi savu e-pasta adresi"
Subscribe,Pierakstīties
"Newsletter Section","Jaunumu sadaļa"
"Subscription Options","Pierakstīšanās opcijas"
"Allow Guest Subscription","Atļaut viesu pierakstīšanos"
"Need to Confirm","Nepieciešama apstiprināšana"
"Confirmation Email Sender","Apstiprinājuma e-pasta sūtītājs"
"Confirmation Email Template","Apstiprinājuma e-pasta šablons"
"Success Email Sender","Veiksmīgi e-pasta sūtītājs"
"Success Email Template","Veiksmīgi e-pasta šablons"
"Unsubscription Email Sender","Atrakstīšanās vēstules sūtītāja e-pasts"
"Unsubscription Email Template","Atrakstīšanās vēstules šablons"
Subscriber,Abonents
"Queue Subject","Rindas nosaukums"
"Error Code","Kļūdas kods"
"Error Text","Kļūdas teksts"
"Queue Start","Rindas sākums"
Processed,Apstrādātas
Recipients,Saņēmēji
Unsubscribe,Atrakstīties
"Customer First Name","Klienta vārds"
"Customer Last Name","Klienta uzvārds"
"Not Activated","Nav aktivizēts"
Subscribed,Pierakstījies
Unsubscribed,Atrakstīts
Unconfirmed,Neapstiprināts
"Newsletter Subscriptions","Jaunumu pieraksti"
"Shipping Price","Piegādes cena"
"Store Pickup","Piegāde veikalā"
"Weight vs. Destination","Svars attiecībā pret piegādes vietu"
"Price vs. Destination","Cena attiecībā pret piegādes vietu"
"# of Items vs. Destination","# produkti attiecībā pret galamērķi"
"Weight (and above)","Svars (un vairāk)"
"Order Subtotal (and above)","Pasūtījuma starpsumma (un vairāk)"
"# of Items (and above)","# produkti (vai vairāk)"
"Per Order","Katrā pasūtījumā"
"Flat Rate","Vienota likme"
"Method Name","Metodes nosaukums"
"Table Rates",Izmaksas
"Include Virtual Products in Price Calculation","Iekļaut virtuālos produktus cenu kalkulācijā"
"Free Shipping","Bezmaksas piegāde"
"Minimum Order Amount","Minimālā pasūtījuma summa"
"Please enter a valid credit card number.","Lūdzu, ievadiet derīgu kredītkartes numuru."
Help,Palīdzība
"Updated At",Atjaunots
here,šeit
Status:,Statuss:
"Please select a shipping method...","Lūdzu, izvēlaties piegādes metodi..."
Manage,Pārvaldīt
"Display on Product Details Page","Produkta informācija"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Jā opcija ir iespējota, klients var mainīt piegādes adresi un piegādes metodi Paypal tīkla lapā. Produkcijas režīmā darbojas tikai caur Https protokolu."
"Not you?","Ne Jūs?"
"Edit Product Price","Labot produkta cenu"
Price:,Cena:
Url,URL
"Images and Videos","Attēlus un video"
"Images And Videos","Attēlus un video"
"Minimum order amount is %1","Minimālais pasūtījuma daudzums ir %1"
Carts,Grozi
"Edit Rule '%1'","Labot noteikumu '%1'"
"Minute Intervals","Minūšu intervāli"
Hourly,"Katru stundu"
"5 minutes","5 minūtes"
"10 minutes","10 minūtes"
"15 minutes","15 minūtes"
"20 minutes","20 minūtes"
"30 minutes","30 minūtes"
for,priekš
"for greater than","lielāks par"
"for or greater than","par vai lielāks kā"
"not from","nav no"
"Number of Items","Produktu skaits"
is,ir
"is not",nav
"New Accounts","Jauni konti"
"Customers by number of orders","Klienti pēc pasūtījumu skaita"
"Customers by Orders Total","Klienti pēc kopējiem pasūtījumiem"
Period,Periods
"Empty Rows","Tukšās rindas"
"Products Report","Produktu atskaite"
Purchases,Pirkumi
"Low stock","Mazs krājums"
"Products Ordered","Pasūtītie produkti"
"Most Viewed","Visvairāk skatītie"
"Show Report","Rādīt atskaiti"
"Refresh Statistics","Atjaunot statistiku"
"Customers Reviews","Klientu atsauksmes"
Detail,Detaļas
"Products Reviews","Produktu atsauksmes"
"Coupons Usage Report","Kuponu lietošanas atskaite"
"Total Invoiced vs. Paid Report","Kopējo izstādīto attiecībā pret samaksāto rēķinu atskaite"
"Total Refunded Report","Kopējo atmaksu atskaite"
"Total Ordered Report","Kopējo pasūtījumu atskaite"
"Total Shipped Report","Visu piegāžu atskaite"
"Order Taxes Report Grouped by Tax Rate","Pasūtījumu nodikļu atskaite šķirota pēc nodokļu likmes"
"Abandoned carts","Pamestie grozi"
"Applied Coupon","Piemērots kupons"
"Products in carts","Produkti grozos"
"Customers by Number of Orders","Klieti pēc pasūtījumu skaita"
"Low Stock","Mazs krājums"
Review,Pārskats
Reviews,Pārskati
"Customers Report","Klientu atskaites"
"Product Reviews","Produktu atsauksmes"
Coupons,Kuponi
"Sales Report","Pārdošanas atskaite"
"Abandoned Carts","Pamestie grozi"
Statistics,Statistika
"Search Terms","Meklētie atslēgvārdi"
Refunds,Atmaksas
"Show for Current","Rādīt patreizējam"
"Default Recently Viewed Products Count","Noklusētais nesen apskatīto produktu skaits"
"Default Recently Compared Products Count","Noklusētais nesen salīdzināto produktu skaits"
"Year-To-Date Starts","Gada sākums līdz konkrētajam datumam sākas"
"Current Month Starts","Patreizējais mēnesis sākas"
"Select day of the month.","Izvēlieties mēneša dienu."
"Last Review","Pēdējā atsauksme"
"Refresh Lifetime Statistics","Atjaunot visa darbības laika statistiku"
"Refresh Statistics for the Last Day","Atjaunot pēdējās dienas statistiku"
"We can't configure the product right now.","Pašlaik nevar nokonfigurēt produktu."
"Invalid item option format.","Nepreizs produkta opcijas formāts."
"Cannot specify product.","Nevar norādīt produktu."
Copy,Kopēt
Ok,Labi
"Save Review","Saglabāt atsauksmi"
"New Review","Jauna atsauksme"
"Review Details","Atsauksmes detaļas"
"Product Rating","Produkta vērtējums"
Nickname,Segvārds
"Summary of Review","Atsauksmes kopsavilkums"
"Save and Next","Saglabāt un turpināt"
"Delete Review","Dzēst atsauksmi"
Administrator,Administrators
Author,Autors
"Summary Rating","Vērtējuma kopsavilkums"
"Detailed Rating","Detalizēts vērtējums"
"Update Status","Atjaunot statusu"
"Pending Reviews","Atsauksmes kuras gaida apstiprināšanu"
"All Reviews","Visas atsauksmes"
"Manage Ratings","Pārvaldīt vērtējumus"
"Add New Rating","Pievienot jaunu vērtējumu"
"Save Rating","Saglabāt vērtējumu"
"Delete Rating","Nodzēst vērtējumu"
"New Rating","Jauns vērtējums"
"Rating Title","Vērtējuma nosaukums"
"Rating Visibility","Vērtējuma redzamība"
"Rating Information","Vērtējuma informācija"
"Pending product review(s)","Neapstiprināta produkta atsauksme(s)"
"Customer Reviews","Klientu atsauksmes"
"My Product Reviews","Mani produktu vērtējumi"
Approved,Apstiprināts
"Not Approved","Nav apstiprināts"
"Rating isn't Available","Vērtējums nav pieejams"
"Assigned Options","Pieškirtās opcijas"
"Option Title:","Opcijas nosaukums:"
"You have submitted no reviews.","Jūs neesat pievienojis atsauksmes."
"My Recent Reviews","Mani nesenie vērtējumi"
"Average Customer Rating:","Vidējais klientu vērtējums:"
"Back to My Reviews","Atpakaļ pie manām atsauksmēm"
"Be the first to review this product","Uzraksti pirmais atsauksmi par šo produktu"
"Write Your Own Review","Uzrakstīt atsauksmi"
"You're reviewing:","Jūsu atsauksmes:"
"Submit Review","Nosūtīt atsauksmi"
"Add Your Review","Pievienot Jūsu atsauksmi"
"Back to Main Product Info","Atpakaļ uz Produkta galveno informāciju"
"Average Customer Rating","Vidējais klientu vērtējums"
"Product Rating:","Produkta vērtējums:"
"Back to Product Reviews","Atpakaļ pie produkta atsauksmēm"
"Allow Guests to Write Reviews","Atļaut viesiem rakstīt atsauksmes"
"Signed up for newsletter with email %1","Pieteikties jaunumu saņemšanai uz epastu %1"
Return,Atgriezt
"Custom Value","Pielāgota vērtība"
"Tracking Information","Izsekošanas informācija"
"Order # ","Pasūtījums # "
"Customer Name","Klienta vārds"
"Customer Service","Klientu serviss"
Carrier,Pārvadātājs
"Please Select Products to Add","Izvēlieties produktus lai pievienotu"
Packages,Pakas
Package,Paka
Length,Garums
Feed,Plūsma
"Miscellaneous Feeds","Dažādas plūsmas"
"Get Feed","Iegūt plūsmu"
"RSS Feeds","RSS plūsmas"
"Rss Config","RSS konfigurācija"
"Enable RSS","Ieslēgt RSS"
by,par
"Perform following actions","Veikt sekojošas darbības"
"does not contain",nesatur
ALL,VISI
ANY,JEBKURŠ
TRUE,PAREIZS
FALSE,NEAPREIZS
"Create New Order","Izveidot jaunu pasūtījumu"
"Submit Order","Noformēt pasūtījumu"
"Items Ordered","Pasūtītās preces"
"Last Ordered Items","Pēdējie pasūtītie produkti"
"Send Email","Sūtīt e-pastu"
"Order Status Information","Pasūtījuma status"
Ship,Piegādāt
"Save Gift Message","Saglabāt dāvanas ziņu"
"Order History","Pasūtījumu vēsture"
"Order Information","Pasūtījuma detaļas"
"Show Actual Values","Rādīt faktiskās vērtības"
Value,Vērtība
"Back to My Orders","Atpakaļ pie maniem pasūtījumiem"
"Print Order # %1","Drukāt pasūtījumu # %1"
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","atlaižu kods ""%1"" netika piemērots. Nevar piemērot atlaides izvēlētajai precei (ēm)"
"Orders and Returns","Pasūtījumi un atgriešana"
"Shipping Address: ","Piegādes adreses: "
"Please enter the street.","Lūdzu, ievadiet ielu."
"Please enter the city.","Lūdzu, ievadiet pilsētu."
"Please enter the phone number.","Lūdzu, ievadiet tālruņa numuru."
"Please enter the zip/postal code.","Lūdzu, ievadiet pasta indeksu."
"Please enter the country.","Lūdzu, ievadiet valsti."
"New Orders","Jauni pasūtījumi"
"No Payment Methods","Norēķinu veidi nav pieejami"
"Shipping &amp; Handling","Piegāde un apstrāde"
"Print Order","Pasūtījuma izdruka"
"Thank you for your order from %store_name.","Paldies par pirkumu %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Jūs varat pārbaudīt savu pasūtījumu statusu <a href=""%account_url"">pieslēdzoties kontam</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Kredītrēķins #%creditmemo_id pasūtījumam #%order_id"
"Billing Info","Norēķinu informācija"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Pasūtījuma #%increment_id statuss tika atjaunots uz <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Rēķins #%invoice_id pasūtījumam #%order_id"
"Once your package ships we will send you a tracking number.","Jums tiks izsūtīts sekošanas numurs, kad prece tiks izsūtīta."
"Your Order <span class=""no-link"">#%increment_id</span>","Pasūtījums <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pasūtīts <span class=""no-link"">%created_at</span>"
"Your shipping confirmation is below. Thank you again for your business.","Piegādes informācija. Paldies par pirkumu."
"Your Shipment #%shipment_id for Order #%order_id","Piegāde #%shipment_id pasūtījumam #%order_id"
"Allow Reorder","Atļaut pasūtīt atkārtoti"
"Customer Order Status Notification","Klienta pasūtījuma statusa paziņojums"
"Orders and Returns Search Form","Pasūtījumu un atgriešanas meklēšanas forma"
"Move to Archive","Pārvietot uz arhīvu"
Coupons/Discounts,Kuponi/atlaides
"Not enough arguments","Nepietiekams argumentu daudzums"
"Fatal Error","Fatāla kļūda"
"Add Scheduled Export","Pievieno plānoto eksportu"
"Unable to delete the cron task.","Nevar nodzēst cron uzdevumu."
"Search Term","Meklēšanas termins"
"Save Search","Saglabāt meklēšanu"
"Delete Search","Dzēst meklēšanu"
"New Search","Jauna meklēšana"
"Search Information","Meklēšanas informācija"
"Number of results","Rezultātu skaits"
"Number of results (For the last time placed)","Rezultātu skaits (pēdējo reizi ievietojot)"
"For the last time placed.","Pēdējo reizi ievietots."
"Number of Uses","Lietojumu skaits"
"This search no longer exists.","Šī meklēšana vairs nepastāv."
"Search Terms Report","Meklēto atslēgvārdu pārskats"
"Search entire store here...","Meklēt visā veikalā..."
"There are no search terms available.","Nav pieejami meklēšanas termini."
Hits,Klikšķi
"Account Activity","Konta aktivitāte"
"All other open sessions for this account were terminated.","Visas šī konta atvērtās sesijas tika pārtrauktas."
"We couldn't logout because of an error.","Dēļ kļūdas nevarēja atslēgties."
"Someone logged into this account from another device or browser. Your current session is terminated.","Kāds ir pieslēdzies šim kontam no citas ierīcas vai pārlūka. Jūsu sesija tika pārtraukta."
"Your current session is terminated by another user of this account.","Jūsu sesiju pārtrauca cits šī konta lietotājs."
"Your current session has been expired.","Jūsu tekošā sesija ir beigusies."
"By IP and Email","Pēc IP un e-pasta"
"By IP","Pēc IP"
"By Email","Pēc e-pasta"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Nepareiza Drošības pārbaudes klase. Tai ir jāiekļauj SecurityCheckerInterface"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Šis administratora konts ir atvērts vairāk kā vienā vietā. Citas vietas var būt cits pārlūks vai sesija uz tā paša datora."
"Concurrent session information:","Vienlaicīgu sesiju informācija:"
"Time of session start","Sesijas sākuma laiks"
"Are you sure that you want to log out all other sessions?","Vai vēlaties atslēgt visas pārējās sesijas?"
"Log out all other sessions","Atslēgt pārējās sesijas"
"This computer is using IP address %1.","Šī datora IP adrese %1."
"Admin Account Sharing","Administratora konta koplietošana"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Ja ir ieslēgts Jā, tad ir iespēja pieslēgties no vairākiem datoriem vienam kontam. Noklusētais iestatījums Nē samazina drošības riskus."
"Limit the number of password reset request per hour. Use 0 to disable.","Limitēt paroles maiņas pieprasījumu skaitu stundā. Lietot 0 lai izslēgtu."
"Delay in minutes between password reset requests. Use 0 to disable.","Aizture starp paroles maiņas pieprasījumiem. Lietot 0 lai atslēgtu."
"The link to a friend was sent.","Saite draugam tika nosūtīta."
"Some emails were not sent.","Atsevišķi e-pasti netika nosūtīti."
"Invalid Sender Information","Nederīga nosūtītāja informācija"
"Select Email Template","Izvēlēties e-pasta šablonu"
"Allow for Guests","Atļat viesiem"
"Max Recipients","Maksimālais saņēmēju skaits"
"Max Products Sent in 1 Hour","Maksimālais produktu skaits ko var nosūtīt 1 stundā"
"Limit Sending By","Limitēt sūtīšanu pēc"
Assign,Piešķirt
of,no
"Delivered on:",Piegādāts:
"Cannot add tracking number.","Nevar pievienot sekošanas numuru."
"New Shipment","Jauns sūtījums"
"The shipping module is not available.","Piegādes modulis nav pieejams."
"Divide to equal weight (one request)","Sadalīt svaru vienādās daļās (viens pieprasījums)"
"Use origin weight (few requests)","Lietot izcelsmes svaru (maz pieprasījumu)"
Contents,Saturs
"Per Package","Katrā iepakojumā"
"Shipment #","Piegāde #"
"Tracking Number:","Sekošanas numurs:"
Carrier:,Pārvadātājs:
"Tracking information is currently not available. Please ","Izsekošanas informācija pašlaik nav pieejama. Lūdzu "
"contact us","sazināties ar mums"
" for more information or "," vairāk informācijas vai "
"email us at ","sūtīt e-pastu uz "
Info:,Informācija:
Track:,Sekot:
"There is no tracking available for this shipment.","Šai piegādei nav pieejama izsekošana."
"There is no tracking available.","Izsekošana nav pieejama."
"Local Time","Vietējais laiks"
"Shipping Settings","Piegādes iestatījumi"
Origin,Izcelsme
"Save & Generate","Saglabāt & Ģenerēt"
"Edit Sitemap","Labot lapas karti"
"New Sitemap","Jaunas lapas karte"
Sitemap,"Lapas karte"
Filename,"Faila nosaukums"
"Add Sitemap","Pievienot lapas karti"
"This sitemap no longer exists.","Lapas karte vairs neeksistē."
"Site Map","Lapas karte"
"New Site Map","Jauna lapas karte"
"The sitemap ""%1"" has been generated.","Lapas karte ""%1"" tika ģenerēta."
"The priority must be between 0 and 1.","Prioritātei jābūt starp 0 un 1."
Yearly,"Katru gadu"
"Categories Options","Kategoriju opcijas"
"Products Options","Produkta opcijas"
"CMS Pages Options","CMS lapas opcijas"
"Generation Settings","Ģenerēšanas iestatījumi"
"Maximum File Size","Maksimālais faila lielums"
"File size in bytes.","Faila izmērs baitos."
"Link for Google","Saite priekš Google"
"We were unable to perform the search because of a search engine misconfiguration.","Nevar veikt meklēšanu dēļ meklēšanas dzinēja nepareizas konfigurācijas."
"Final commit","Fināla izpilde"
"Partial commit","Daļēja izpilde"
"Engine autocommit","Dzinēja autoizpilde"
"Solr Server Hostname","Solr servera hosta nosaukums"
"Solr Server Port","Solr servera ports"
"Solr Server Username","Solr servera lietotājvārds"
"Solr Server Password","Solr servera parole"
"Solr Server Timeout","Solr servera taimauts"
"Solr Server Path","Solr servera ceļš"
"Without starting and trailing slashes.","Bez sākuma un noslēdzošās slīpsvītras."
"Indexation Mode","Indeksācijas režīms"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Daļējas izpildes režīms ietekmē indeksācijas laiku, taču ļauj attēlot produktus veikalā pirms indeksācija ir pabeigta."
"Please fill in Hostname, Port, Path","Ierakstiet Resursdatora nosaukumu, Portu, Ceļu"
"Something went wrong","Kaut kas nogāja greizi"
"Current store is not active.","Pašreizējais veikals nav aktīvs."
"Website with the same code","Mājas lapa ar vienu un to pašu kodu"
"Name is required","Nosaukums ir obligāts"
Language,Valoda
Layouts,Izkārtojumi
"Error message!","Kļūdas paziņojums!"
Top,Augšā
"Unknown schema type supplied","Nezināms shēmas tips"
more,vairāk
"Tax Rate Information","Nodokļa Likmes Informācija"
"Tax Identifier","PVN identifikators"
"Zip/Post is Range","Pasta indeksa apgabals"
"Zip/Post Code","Pasta indekss"
"Range From","Diapazons no"
"Range To","Diapazons līdz"
State,Štats
"Rate Percent","Procentu likme"
"Save Rate","Saglabātu kursu"
"Grand Total (Excl.Tax)","Kopsumma (Bez PVN)"
"Grand Total (Incl.Tax)","Kopsumma (Ar PVN)"
"Tax Zones and Rates","Nodokļu zonas un likmes"
"Import and Export Tax Rates","Importēt vai eksportēt nodokļu likmes"
"The tax rate has been imported.","Nodokļu likme tika importēta."
"Invalid file upload attempt","Nepareiza faila augšupielādēšanas mēģinājums"
"Invalid file upload attempt.","Nepareiza faila augšupielādēšanas mēģinājums."
"Invalid file format.","Nepareizs faila formāts."
"Country code is invalid: %1","Nederīgs valsts kods: %1"
"Import Tax Rates","Importēt nodokļu likmes"
"Export Tax Rates","Eksportēt nodokļu likmes"
"Import/Export Tax Rates","Importēt vai eksportēt nodokļu likmes"
"Save and Continue","Saglabāt un turpināt"
Themes,Tēmas
"Upload Images","Augšupielādēt attēlus"
"Edit custom.css","Labot custom.css"
"CSS Editor","CSS redaktors"
"Theme Settings","Tēmu iestatījumi"
"Theme Title","Tēmas nosaukums"
"JS Editor","JS redaktors"
"Create Folder","Izveidot direktoriju"
"Insert File","Ievietot failu"
"%1 Item(s)","%1 Produkts(i)"
Page,Lapa
Menu,Izvēlne
Account,Konts
"TinyMCE 3 (deprecated)","TinyMCE 3 (novecojušais)"
"Dictionary (Translation on Storefront side)","Vārdnīca (Tulkošana veikala priekšpusē)"
"Embedded (Translation on Admin side)","Iekļauts (Tulkošana administrācijas panelī)"
"Error while translating phrase ""%s"" in file %s.","Kļūda tulkojot frāzi ""%s"" failā %s."
"Error while generating js translation dictionary: ""%s""","Kļūda ģenerējot js tulkojuma vārdnīcu: ""%s"""
"Translation Strategy","Tulkošanas stratēģija"
Translations,Tulkojumi
"Translation files","Tulkojumu faili"
"Condition type ""%1"" is not allowed","Nosacījuma tips ""%1"" nav atļauts"
"Remove %1","Noņemt %1"
"Add New %1","Pievienot jaunu %1"
"New %1","Jaunu %1"
Filters,Filtri
Selected,Izvēlētie
"New View","Jauns skats"
"Default View","Noklusējuma skats"
Keyword,Atslēgvārds
"Please enter more or equal than {0} symbols.","Lūdzu ievadiet vismaz {0} simbolus."
"Please specify a valid phone number","Lūdzu, norādiet derīgu tālruņa numuru"
"Please specify a valid mobile number","Lūdzu, norādiet derīgu mobilā tālruņa numuru"
"Invalid format.","Nederīgs formāts."
"Empty Value.","Tukša vērtība."
"Please enter a valid email address (Ex: johndoe@domain.com).","Lūdzu ievadiet derīgu ē-pasta adresi (piem: johndoe@gmail.com)"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Parolei jābūt vismaz %1 simbolu garai. Tukšuma simboli sākumā un beigās tiks ignorēti."
Container,Konteiners
"User ID","Lietotāja ID"
"""url"" argument should be specified and not empty","jānorāda ""url"" arguments, tas nevar būt tukšs"
"Delete Role","Izdzēst lomu"
Roles,Lomas
"Role Users","Lietotāju lomas"
"Save User","Saglabāt lietotāju"
"Delete User","Dzēst lietotāju"
"New User","Jauns lietotājs"
"Account Status","Konta statuss"
"User Information","Lietotāja informācija"
"User Info","Lietotāja informācija"
"Please enter an email address.","Ievadiet e-pasta adresi."
Permissions,"Piekļuves tiesības"
"You cannot delete your own account.","Jūs nevarat izdzēst savu kontu."
"New Role","Jauna loma"
email,e-pasts
username,lietotājvārds
"Password is required field.","Parole ir obligāts lauks."
"Email address","E-pasta adrese"
"Forgot your password?","Aizmirsāt paroli?"
"Hello,","Sveicināti,"
"Thanks,","Paldies,"
"Last login","Pēdējā pieteikšanās"
Variable,Mainīgais
"Add New Variable","Pievienot jaunu mainīgo"
"Custom Variable ""%1""","Pielāgots mainīgais ""%1"""
"New Custom Variable","Jauns pielāgots mainīgais"
"Variable Code","Mainīgā kods"
"Variable Name","Mainīgā nosaukums"
"Use Default Variable Values","Lietot noklusētās mainīgo vērtības"
